id gender vitality type weight jump_length
113 male 2 dog 4 27.9
114 fale 4 cat 3.6 30
115 fale 1 cat 3.2 18.8
116 male 1 dog 4.1 32.2
117 male 5 cat 2.7 32.7
118 male 3 dog 4.2 29.8
119 male 5 dog 4.2 34.8
120 male 1 dog 4.2 32.1
121 male 2 cat 3.2 22.3
122 male 2 dog 4.4 25.4
123 male 2 dog 4 30.7
124 female 5 dog 3.7 20.4
125 male 1 unkown 5.6 26.1
126 male 6 cat 2.6 27.7
127 fale 8 dog 4.8 43.1
128 male 3 dog 10.3 25.5
129 male 1 dog 4.2 24.8
130 male 3 cat 2.6 21.6
131 male 1 cat 2.4 20.4
132 male 2 dog 4.1 22.6
133 male 5 unkown 5.5 36.7
134 female 5 dog 14.4 27.1
135 male 2 dog 4.5 25
136 male 3 dog 3.8 25.1
137 male 2 unkown 5.4 28.7
138 male 4 cat 3 27.3
139 fale 4 cat 3.1 34.5
140 male 0 dog 4.3 22.7
141 fale 6 dog 4.3 40.5
142 male 4 dog 4.3 26.7
143 male 1 unkown 5.2 25.8
144 male 4 dog 3.9 28.4
145 male 2 cat 2.9 19.8
146 fale 4 cat 3.1 29.7
147 male 0 unkown 5.8 30.6
148 male 2 dog 4.1 24.9
149 male 3 dog 12 24.3
150 male 3 dog 4 34.5
151 male 3 cat 2.4 28.1
152 fale 2 cat 3.1 28.1
153 male 2 cat 2.9 16.8
154 male 2 unkown 5.5 30.3
155 female 1 cat 2 4.1
156 male 1 cat 3 23.2
157 male 4 dog 3.9 32.6
158 male 3 dog 4.1 30.7
159 male 3 cat 2.6 22.9
160 male 3 unkown 5.8 36.3
161 male 1 cat 2.7 16.1
162 male 3 dog 4.1 34.2
163 male 5 cat 3.1 30
164 male 3 dog 9.6 25.5
165 female 2 dog 3.7 22.1
166 male 1 cat 2.3 22.1
167 female 2 dog 3.2 15.1
168 male 1 cat 3.1 23
169 male 2 cat 2.8 22.9
170 fale 1 cat 3.9 25.6
171 male 3 dog 4.9 30.5
172 male 3 unkown 5.7 28.6
173 male 2 cat 2.5 20.4
174 male 3 dog 4.5 22
175 male 3 unkown 5 36.8
176 male 2 dog 3.9 24.3
177 male 3 dog 4.2 30.2
178 female 1 unkown 4.9 18.4
179 male 1 unkown 5.6 31.2
180 male 7 cat 2.5 27.3
181 male 1 cat 2.7 19.4
182 fale 5 dog 4.6 32.4
183 male 1 cat 3.3 23.8
184 male 3 dog 4.2 27.3
185 male 7 cat 3.1 32.5
186 male 1 dog 4.4 22.9
187 female 1 dog 3.7 13.9
188 male 5 dog 3.9 31.2
189 male 2 cat 13.1 25.1
190 male 4 cat 2.8 31.2
191 male 2 dog 4.1 29.9
192 male 0 cat 2.8 22.8
193 male 3 cat 2.8 23.2
194 fale 3 unkown 5 38.6
195 male 3 cat 2.8 20
196 male 2 cat 2.7 21.2
197 male 2 dog 4 28.5
198 male 4 cat 2.7 28.5
199 male 2 cat 2.8 29.1
200 male 2 unkown 5.3 27.2
201 female 3 dog 3.3 17.2
202 male 7 cat 2.4 4.3-
203 male 4 cat 3 25.2
204 male 3 dog 4.1 32.8
205 male 1 dog 4.4 29.2
206 male 4 dog 4.4 7.9-
207 fale 2 dog 4.5 28.9
208 male 3 dog 4.2 26.9
209 male 1 unkown 5.4 31.3
210 male 3 cat 3.1 20.8
211 female 1 cat 2.5 10
212 male 2 cat 2.6 22.4
213 male 2 cat 2.7 27.6
214 male 4 dog 4.4 30.8
215 male 6 dog 3.8 34.6
216 male 3 dog 4.7 5.8-
217 male 4 unkown 5.9 32.8
218 male 2 cat 3.4 25.5
219 male 1 cat 2.7 24
220 male 6 unkown 5.6 36.5
221 male 4 cat 2.8 6.5-
222 male 6 cat 3 24.7
223 male 6 dog 3.8 37.5
224 male 0 cat 2.7 25
225 male 5 dog 4.5 32.9
226 male 2 cat 3.2 26.4
227 male 3 dog 3.7 32.5
228 male 4 dog 4.2 29.9
229 male 2 dog 4.3 29.6
230 male 2 dog 3.9 18.8
231 male 0 dog 4 28
232 female 5 cat 2.5 19.7
233 male 3 dog 3.7 29.3
234 male 0 cat 2.5 21.1
235 male 1 cat 3 22.7
236 male 4 dog 3.6 30.4
237 male 4 cat 2.9 27.7
238 male 1 dog 3.9 6.4-
239 male 4 dog 4.8 29.7
240 male 4 dog 4 29.1
241 male 2 dog 3.8 24
242 male 5 cat 2.7 31.4
243 male 4 unkown 4.6 26.9
244 female 1 dog 4 22.9
245 male 1 cat 2.9 16.2
246 male 3 cat 3.3 29.6
247 male 3 dog 4.1 26.5
248 female 4 dog 3.7 20
249 male 3 dog 4 28.2
250 male 5 cat 3 22.4
251 male 3 cat 2.6 21.3
252 male 2 dog 4.5 27.6
253 fale 5 dog 4.6 37.4
254 fale 3 dog 4.9 33.2
255 male 2 dog 3.9 23.2
256 male 1 dog 3.9 22.2
257 male 3 cat 3 26.9
258 male 2 cat 2.9 5.1-
259 male 2 dog 4.1 28.2
260 male 0 cat 3.5 6.6-
261 male 4 dog 3.9 35
262 male 2 unkown 5.5 26.5
263 male 1 dog 3.8 26.7
264 male 3 unkown 5.4 35.8
265 male 6 dog 4.1 32.2
266 male 3 dog 4.6 24
267 male 1 cat 2.9 24
268 male 0 dog 4.5 26.3
269 fale 3 cat 3 33.3
270 male 5 cat 3.2 27
271 male 3 cat 3.3 22.4
272 fale 4 dog 4.6 31.9
273 male 1 dog 4.4 24.1
274 male 5 unkown 5.4 30.9
275 male 2 dog 4.1 25.9
276 male 2 dog 3.9 25.9
277 male 1 dog 4.4 23
278 male 5 dog 3.1 27.2
279 male 5 dog 4.5 27.3
280 male 5 dog 4.2 35.4
281 male 2 cat 2.4 18.2
282 male 4 unkown 5.1 35.9
283 male 3 cat 3.2 22.9
284 female 3 cat 2.5 16.1
285 male 2 dog 4.2 31
286 male 3 dog 4.3 5.4-
287 male 4 cat 2.6 27.5
288 male 4 dog 4.1 29.4
289 female 1 cat 2.5 8.5-
290 male 4 cat 2 27.2
291 fale 3 cat 3.5 28.5
292 male 3 dog 3.6 6.8-
293 male 5 dog 4.4 27.3
294 fale 3 dog 5.2 33.1
295 male 1 dog 4.2 20.6
296 male 3 cat 2.9 28.9
297 male 3 unkown 5.1 34.5
298 male 6 cat 2.7 30.1
299 male 3 dog 3.5 23.8
300 male 1 unkown 5.8 28.7
301 male 5 cat 2.2 25.6
302 male 3 unkown 5.3 32.5
303 fale 4 dog 4.4 32.3
304 male 5 dog 3.8 31.2
305 male 1 dog 3.5 24.9
306 female 2 cat 2.4 24.2
307 fale 2 cat 3.5 26.5
308 fale 1 dog 4.6 28.5
309 male 7 dog 3.6 40.5
310 male 2 dog 3.9 28.1
311 male 2 dog 3.8 26.5
312 male 5 cat 2.8 27.8
313 fale 2 dog 4.4 32.4
314 male 2 cat 2.8 20
315 male 2 dog 4.5 26.1
316 fale 2 cat 3.9 25.2
317 male 7 cat 2.6 29.7
318 male 6 cat 2.9 31.4
319 female 2 cat 2.2 8
320 male 6 cat 2.6 26.8
321 male 4 cat 3 35
322 male 2 dog 4.4 25.3
323 male 5 unkown 5.6 30.8
324 male 6 cat 2.8 25.9
325 male 4 dog 4.5 31.2
326 male 5 cat 2.7 27.2
327 male 3 dog 4.4 26.6
328 female 6 cat 2.1 20
329 male 4 unkown 5.6 30.3
330 male 4 cat 2.8 26.2
331 female 3 dog 3.4 19.4
332 fale 2 dog 5.2 29.4
333 male 4 dog 3.6 25.5
334 male 3 cat 3 21.7
335 male 7 cat 2.4 35.7
336 male 2 unkown 5.5 33.7
337 male 4 cat 2.9 23.9
338 fale 1 cat 3.7 21.6
339 male 3 cat 2.9 24.1
340 male 2 cat 2.7 28
341 male 3 cat 2.4 31
342 female 1 dog 3.6 22.1
343 male 3 unkown 5.2 31.7
344 male 3 cat 2.6 23.8
345 male 5 dog 3.6 37.7
346 male 9 cat 2.6 32.2
347 fale 2 cat 3.4 31.5
348 male 3 dog 3.8 25.1
349 male 3 dog 4.6 30.9
350 male 3 dog 4.1 21.9
351 male 0 dog 3.8 21.8
352 male 3 dog 3.3 27.2
353 male 3 cat 3 29.3
354 female 3 unkown 4.4 25.6
355 male 5 cat 2.6 24.4
356 male 4 unkown 5.7 25.1
357 male 2 cat 2.8 24.3
358 male 2 dog 3.9 28.4
359 fale 3 dog 4.4 31.1
360 male 3 dog 4.1 32.8
361 male 2 cat 2.4 23.2
362 male 4 dog 4.2 34.9
363 male 4 unkown 5.2 29.8
364 male 2 dog 3.8 24
365 male 4 dog 4.3 28.9
366 male 3 unkown 4.7 32.7
367 female 2 unkown 4.9 18.2
368 male 4 dog 3.8 27.7
369 fale 0 dog 4.4 27.8
370 male 1 cat 2.6 20
371 male 5 cat 2.7 26.1
372 male 3 dog 4 32.6
373 male 5 dog 4.1 32.4
374 male 1 dog 4.6 30.8
375 male 4 cat 2.7 28.5
376 female 4 dog 4.1 17.4
377 fale 3 unkown 6.1 38.7
378 male 2 cat 3.3 19.3
379 male 3 dog 5.1 26.9
380 male 4 dog 4.5 34.7
381 male 3 cat 2.6 23.1
382 fale 1 cat 2.8 25
383 male 3 cat 3 31.3
384 male 2 unkown 5.4 27.8
385 male 0 dog 4.1 22.9
386 female 6 cat 2.6 24.4
387 male 2 dog 3.6 26
388 fale 4 cat 3.3 32.6
389 male 3 cat 2.4 25.7
390 male 3 cat 2.8 24.3
391 fale 3 dog 5.2 29.8
392 male 5 unkown 5.9 43.1
393 male 4 dog 3.6 30.4
394 male 2 cat 2.6 26.8
395 male 2 cat 2.8 28
396 male 6 cat 2.8 29.5
397 male 3 dog 4.6 24.2
398 female 4 cat 2.5 19.1
399 male 5 dog 4.2 34.5
400 male 3 cat 2.5 23.2
401 male 3 unkown 5.1 30.4
402 male 7 dog 3.9 41.4
403 fale 4 dog 4.8 31.8
404 male 5 dog 4.2 32.8
45 fale 3 dog 4.5 30.3
406 male 4 dog 3.5 33
55 male 4 dog 4 26.6
408 male 4 dog 3.7 24.6
409 male 4 cat 2.7 22.9
410 male 0 cat 2.7 23.9
411 male 2 dog 4 28.3
412 fale 2 cat 3.2 25.9
413 male 2 dog 4.1 23
48 male 5 cat 2.2 27.2
415 fale 3 cat 3.3 29.3
416 male 3 unkown 5 29.8
417 fale 2 cat 3.6 25.1
418 male 4 dog 4.4 34.9
419 male 5 dog 3.9 26.2
420 male 2 cat 2.7 28.4
421 fale 0 cat 3.1 20.9
422 male 4 dog 4.3 28.9
423 male 5 dog 4.3 35.5
424 male 6 dog 4.2 35.7
425 female 3 dog 3.8 19.1
426 male 2 dog 3.4 26.2
427 male 4 dog 3.9 28.2
428 male 0 dog 3.5 21.9
429 male 0 cat 2.6 23.9
430 male 3 cat 2.7 24.7
431 female 2 dog 3.5 13.9
42 male 5 cat 3 26.6
433 male 2 unkown 5.6 32.4
434 male 2 dog 4 28.4
435 fale 2 dog 5 28.3
436 male 4 cat 2.8 26.9
437 male 4 dog 4.1 34.4
438 male 2 dog 4.1 24.9
439 male 2 cat 3.2 21.6
440 male 4 dog 3.8 36.6
441 male 5 cat 2.3 27.3
442 fale 3 dog 4.3 35.4
443 male 5 cat 2.8 31.9
444 fale 4 cat 3.3 29
445 male 2 cat 3.3 26
446 male 2 dog 4.2 30.6
447 male 3 cat 3.3 23.9
448 male 3 cat 2.9 24.3
449 male 2 dog 4.1 28.5
56 male 4 unkown 5.7 36
451 male 2 cat 2.5 20.8
452 male 3 cat 2.3 27.6
453 fale 7 cat 3.3 30.5
55 male 2 cat 2.6 22.4
455 female 0 unkown 5.1 16.7
456 female 4 dog 3.7 26.2
457 male 6 unkown 5 37.6
458 male 1 cat 2.8 21.9
459 male 5 dog 3.7 30.8
460 male 1 cat 2.8 18.3
461 male 6 dog 4.8 34.7
462 male 3 dog 3.9 31.2
463 fale 2 cat 3.4 27.6
464 male 6 cat 2.6 32.2
465 male 2 cat 2.7 26
466 fale 2 cat 3.2 27.5
467 male 3 cat 2.5 25.3
468 female 4 dog 3.3 20.8
469 fale 3 dog 5.4 33.8
470 male 2 dog 4.3 23.9
471 male 4 cat 2.8 29
472 male 1 unkown 5.4 32.9
473 female 4 dog 3.9 23.9
474 male 4 cat 3.1 29.4
59 male 5 cat 2.5 26.5
476 male 4 dog 4.1 29.2
477 male 1 dog 4.2 22.6
478 male 2 unkown 5.4 36.9
479 fale 1 cat 3 25.1
480 male 0 cat 2.2 21.1
481 male 3 cat 2.7 22
482 male 2 dog 3.9 24.8
483 fale 4 dog 4.6 34.1
484 male 0 dog 4.3 24.5
485 male 1 unkown 5.9 32.4
486 male 4 dog 3.8 31
487 male 4 dog 4.3 32.4
488 fale 3 dog 4.1 29.8
48 male 3 cat 3 25.9
490 male 6 cat 2.6 30.9
491 male 3 cat 2.7 27.7
492 male 5 unkown 5.2 35.3
64 male 2 cat 3 24.1
494 male 3 cat 2.8 23.1
495 male 2 cat 2.6 20.3
496 male 4 cat 3.2 29.8
54 male 2 dog 4.4 27.5
498 male 5 dog 4.1 31.8
499 female 5 cat 2.5 19.9
500 male 4 dog 4.3 36.7
501 male 3 dog 4.3 30.7
502 male 4 dog 3.9 28.1
503 male 4 cat 2.6 28.2
504 male 3 dog 4 31.6
505 male 1 dog 3.8 26.6
506 male 0 dog 4 21
507 female 4 cat 1.7 22.9
508 male 4 unkown 5.1 30.1
509 female 4 dog 3.4 25.3
510 male 3 dog 4.3 27.2
511 female 4 dog 3.7 23.9
512 female 6 cat 2.4 19.2
513 male 2 dog 4.1 22.2
514 male 3 dog 4 30.8
515 male 2 unkown 5 26.4
516 male 5 dog 3.8 33.7
517 male 3 dog 3.5 25.4
518 male 2 unkown 5.5 26.3
519 fale 4 dog 5.2 33
520 male 4 dog 4.4 29.6
521 male 2 dog 4.3 26.5
522 male 2 dog 3.7 26.7
523 male 4 dog 3.9 28.3
524 male 4 dog 4.1 28.5
525 male 3 cat 2.7 24.3
526 male 0 dog 4 26.2
527 male 2 dog 3.6 30.6
528 male 2 dog 3.5 25.1
529 male 3 cat 3.3 26.6
530 male 1 cat 2.3 18
531 male 5 cat 2.6 25.3
532 male 5 dog 4.5 27.5
533 male 3 cat 2.6 26
534 male 3 dog 3.7 28.9
535 male 5 dog 4.2 32.7
536 male 6 cat 2.6 30.9
537 male 2 unkown 5 28.1
538 male 1 dog 4.2 24.3
539 fale 6 cat 3.4 29
540 male 4 cat 3 24.1
541 male 2 cat 3.1 22.4
542 male 2 cat 3.1 24.2
543 male 4 dog 4.2 36.4
544 male 4 dog 3.9 26.7
545 male 6 dog 4.1 33.4
546 male 1 dog 4.1 29.6
547 fale 3 dog 4.8 32.4
548 male 1 dog 4.3 23.4
549 fale 7 unkown 5.8 41.4
550 male 4 dog 4.3 31
551 male 4 cat 2.8 28.5
552 male 1 dog 4.2 22.9
553 fale 4 cat 3.6 31.2
554 male 2 cat 3 20.3
555 male 6 cat 2.9 34.8
556 male 3 cat 3.6 24.3
557 male 6 cat 2.7 31.3
558 male 3 cat 2.7 24.7
559 male 0 cat 2.7 15.1
560 female 5 cat 3 22.8
561 fale 2 dog 4.1 29.9
562 male 2 dog 4.6 32.3
563 male 2 dog 4.1 30.4
564 male 4 unkown 4.9 31.3
565 male 3 unkown 5.5 38.6
566 fale 5 dog 3.9 35.4
567 male 2 cat 3.2 22.2
568 male 1 dog 3.5 21.6
569 male 3 dog 4.5 32.1
570 male 3 cat 3 24.7
571 male 3 dog 3.8 33.9
572 male 6 dog 4.6 33.3
573 female 2 cat 2.6 18.6
574 male 1 cat 2.8 21.4
575 female 3 dog 3.8 23.7
576 male 3 dog 4.5 31.8
577 male 5 cat 2.7 28.8
578 female 3 dog 3.7 22.4
579 male 4 dog 3.9 29.4
580 male 2 cat 3.1 24
581 male 5 dog 3.9 31.6
582 fale 1 dog 4.6 27.7
583 male 3 dog 5.1 28.1
584 fale 2 dog 4.7 28.6
585 male 2 cat 2.6 26.4
586 male 1 cat 2.7 24.9
587 male 4 dog 3.7 29.5
588 fale 1 cat 3.1 23.7
589 male 2 dog 4 33.4
590 male 4 dog 4.2 29.9
591 male 3 cat 2.7 26
592 male 2 dog 3.8 27.3
593 female 3 cat 2.3 14.9
594 male 3 dog 4.3 35.6
595 male 2 dog 4.4 28.1
596 male 5 dog 4.1 32.7
597 male 1 cat 2.6 24.6
598 male 3 dog 4.2 31.3
599 male 2 cat 2.8 26
600 male 3 cat 2.7 29.7
601 male 1 cat 2.7 16.2
602 male 5 dog 4.3 34.1
603 male 1 cat 2.3 22.7
604 fale 8 cat 2.9 32.6
605 male 2 unkown 5.8 28
606 male 4 unkown 4.8 33.7
607 fale 2 unkown 5.2 35.6
608 male 4 unkown 5.3 29.6
609 female 1 dog 3 17.5
610 fale 4 dog 4.4 29.8
611 male 2 cat 2.9 19.7
612 female 4 dog 3.6 21
613 male 1 dog 4 20.4
614 fale 3 cat 3.3 21.4
615 male 3 unkown 5.6 35.1
616 male 0 dog 4.2 24.7
617 male 3 dog 3.5 28.2
618 male 0 dog 5.1 28.8
619 female 3 dog 3.8 21.7
620 male 4 unkown 5.5 41.1
621 male 1 dog 4.1 27.6
622 male 3 cat 3 21
623 male 3 dog 4.2 32.2
624 male 3 cat 3.2 21.3
625 male 3 dog 4.7 29.3
626 male 4 cat 2.8 27.1
627 male 3 cat 2.6 19.9
628 male 1 unkown 5.5 31.4
629 male 6 cat 2.8 24.1
630 male 4 cat 2.6 30.1
631 male 3 cat 2.8 21.1
632 male 2 dog 4.2 22.6
633 male 5 dog 4.3 34.9
634 male 3 dog 4.4 25.3
635 male 2 dog 4.2 23.8
636 male 5 cat 3.1 24.2
637 male 0 unkown 5.3 24.7
638 male 0 unkown 5.3 30.5
639 male 5 cat 3 34.2
640 male 1 cat 2.9 19.4
641 male 7 dog 3.7 34.3
642 female 3 cat 2.2 19.5
643 male 3 cat 2.9 29.3
644 male 4 dog 3.9 29.6
645 male 3 cat 2.4 24.5
646 male 2 dog 4.1 25.2
647 male 4 cat 2.3 28.5
648 male 3 dog 4.2 23.5
649 male 3 dog 3.7 28
650 male 3 unkown 5.6 28.7
651 male 3 unkown 5.8 31.5
652 male 1 cat 3.3 20.6
653 male 3 dog 4.7 32.4
654 male 1 dog 3.9 25.1
655 male 4 cat 2.6 24.7
656 male 4 dog 4.7 32.3
657 fale 5 cat 3.1 30
658 male 2 dog 3.6 27.9
659 male 2 dog 3.9 23.9
660 fale 6 dog 4.4 37.1
661 female 1 cat 2.4 16.5
662 male 1 dog 4.2 26.3
663 male 3 cat 2.3 26
664 male 2 cat 2.8 24.1
665 fale 1 dog 4.8 28.5
666 male 1 cat 2.5 24.4
667 male 2 dog 3.6 30.4
668 male 1 cat 3.2 19.9
669 male 3 dog 3.6 28.6
670 male 4 dog 4.1 34.7
671 female 4 unkown 4.4 22.1
672 male 1 unkown 6 29.1
673 male 7 cat 3 33.8
674 fale 1 cat 3.9 27.1
675 male 4 dog 4.7 33.9
676 female 4 dog 3.4 24.4
677 female 4 dog 3.1 22.5
678 female 4 cat 2 17.8
679 fale 2 unkown 5.5 31.3
680 male 2 cat 3.1 26.2
681 male 3 dog 4 25.6
682 male 3 cat 2.3 21.4
683 male 3 cat 3.1 24.7
684 male 1 cat 2.9 24.6
685 male 0 unkown 5.1 28.5
686 male 8 cat 3 26.5
687 male 2 dog 4.1 32.6
688 male 2 cat 3.1 21.8
689 male 2 cat 3.1 25.9
690 male 6 unkown 5.7 37.2
691 female 2 dog 3.5 16.8
692 male 6 cat 3 25.4
693 male 7 cat 3.2 30.6
694 female 8 cat 2.2 23.1
695 male 2 dog 4.4 33.7
696 male 2 dog 4.6 28.8
697 fale 2 dog 4.3 25.3
698 fale 4 cat 3.2 27.6
699 female 2 cat 2.5 13.3
700 male 5 cat 2.7 21.6
701 male 5 dog 4 31.9
702 female 2 unkown 5.3 18.8
703 fale 2 cat 3.3 28.2
704 female 7 dog 4 30.1
705 male 3 cat 2.3 21.3
706 fale 2 unkown 6.3 37.7
707 male 3 cat 2.8 27.3
708 male 2 cat 2.9 30
709 male 4 cat 2.8 29.5
710 male 1 dog 3.9 25.3
711 male 3 dog 4.1 33.5
712 male 2 cat 2.9 17.8
713 male 6 cat 2.7 29.8
714 male 2 dog 4 30.1
715 male 5 dog 4.2 32.6
716 male 2 cat 2.5 27.9
717 male 3 cat 2.2 22.7
718 male 0 dog 4 25.2
719 male 5 dog 4.4 31.1
720 male 1 dog 4.4 25.6
721 male 1 cat 2.9 20
722 male 1 unkown 5.2 28.2
723 male 3 cat 2.5 25.6
724 male 5 unkown 5.3 33
725 male 2 cat 2.6 23.1
726 male 1 dog 4.1 27.1
727 male 6 dog 4.3 28.6
728 male 2 dog 4.4 26.9
729 female 7 unkown 4.5 27.4
730 female 0 cat 1.9 9.4
731 male 2 dog 4.1 20.7
732 male 3 dog 3.8 38.8
733 female 3 dog 3.2 21.6
734 male 3 dog 3.9 27.6
735 male 3 dog 4.4 27.9
736 male 2 cat 2.6 24.2
737 fale 4 dog 4.4 38.7
738 male 5 dog 4.6 30.3
739 male 1 cat 2.4 21.4
740 male 5 cat 3.1 29.8
741 male 5 dog 4.1 29.3
742 male 0 cat 2.5 18.7
743 male 2 dog 4.2 28.3
744 male 9 dog 3.9 38.2
745 male 5 unkown 5.3 29.1
746 male 2 dog 4.5 24.7
747 male 4 dog 4.2 27.6
748 male 0 cat 3 17.7
749 fale 6 unkown 6.1 37
750 male 1 cat 3.1 20.7
751 male 0 dog 4 20.5
752 male 4 cat 2.9 25.6
753 male 2 cat 2.7 22.3
754 male 4 cat 2.5 27.7
755 male 4 dog 4 31.1
756 fale 3 dog 4 32.6
757 male 1 dog 4.5 23.9
758 male 4 unkown 5.6 27.1
759 male 1 dog 4.9 25.2
760 male 4 cat 2.5 24.7
761 male 2 dog 3.7 32.2
762 male 2 cat 3.3 25.7
763 male 1 dog 3.7 25.8
764 male 0 dog 3.8 21
765 male 5 dog 4.1 30.3
766 male 11 dog 3.9 39.4
767 male 2 cat 2.5 22.3
768 fale 4 cat 3.8 23.4
769 male 1 dog 3.9 24.2
770 male 3 cat 2.7 28.4
771 male 1 dog 4.2 23.9
772 male 1 cat 2.9 17.1
773 fale 4 dog 4.3 33
774 male 4 cat 2.9 24.3
775 male 4 dog 3.8 28.2
776 male 2 cat 2.5 26.2
777 male 5 cat 2.7 27.7
778 male 1 dog 4.4 21.3
779 male 2 cat 3 23
780 male 2 dog 3.9 27.1
781 male 1 cat 3.3 19.7
782 male 2 cat 2.3 22.7
783 male 3 dog 4.4 31
784 female 1 cat 1.7 20
785 male 3 dog 4.4 32.5
786 fale 2 cat 3.5 24.7
787 male 3 dog 4 31.6
788 female 2 cat 3 19.1
789 male 5 dog 3.9 37.3
790 male 6 dog 3.7 34.2
791 male 3 dog 4.1 30.5
792 male 4 dog 4.4 28.5
793 male 4 cat 2.7 22.8
794 male 2 unkown 5.2 27.6
795 male 4 cat 3 22.8
796 male 4 dog 3.9 27.6
797 male 6 dog 3.9 33.4
798 male 3 dog 4.4 33.6
799 female 2 dog 3.4 21.6
800 male 4 cat 2.6 21.7
801 male 5 cat 2.4 22.4
802 male 2 cat 3 22.5
803 female 2 dog 3.4 21
804 male 3 dog 3.7 30
805 male 3 dog 4.1 32.9
806 male 1 cat 2.7 27.2
807 male 3 dog 4.3 24.7
808 male 0 unkown 5.2 25.8
809 male 3 cat 2.8 22.5
810 male 2 dog 4.3 30.8
811 male 5 unkown 5.1 36.4
812 fale 4 unkown 5.9 32.6
813 male 1 dog 4.1 26.2
814 male 2 dog 3.7 27.9
815 male 2 cat 2.9 24.3
816 male 2 dog 4 28.4
817 male 3 dog 3.6 31.6
818 female 2 cat 2.2 17.1
819 male 1 dog 4.9 27.2
820 female 4 dog 3.9 20.7
821 male 3 dog 3.8 29
822 male 2 dog 3.9 27.9
823 male 1 cat 2.6 25.5
824 female 1 dog 3.4 20
825 male 2 dog 4.7 32.4
826 male 4 dog 4.6 28.7
827 male 5 cat 3.2 27.3
828 male 5 dog 3.9 34.4
829 male 2 cat 2.6 27.9
